scenario_id,category,datasets_json,omega,K,N_min,method,ci_low,ci_high,ci_width,clipped,valid,runtime_ms,width_ratio_vs_sim,jaccard_vs_sim,overlap_vs_sim,endpoint_abs_err_vs_sim,center_abs_err_vs_sim
18,single,"[[51, 70, 19]]",1.0,1000,102,ehp CI,143.0,274.0,131.0,False,True,0.5077000241726637,1.0,0.9848484848484849,130.0,2.0,1.0
18,single,"[[51, 70, 19]]",1.0,1000,102,Established CI #1,137.9444714564154,244.36615432355765,106.42168286714224,False,True,0.17090002074837685,0.8123792585278033,0.7579560453944871,102.36615432355765,32.689374220026934,16.344687110013467
18,single,"[[51, 70, 19]]",1.0,1000,102,Established CI #2,143.0,277.0,134.0,False,True,2.3618999402970076,1.0229007633587786,0.9629629629629629,130.0,5.0,2.5
19,single,"[[176, 139, 87]]",1.0,1406,228,Simulation (reference),260.0,312.0,52.0,False,True,387.92480004485697,1.0,1.0,52.0,0.0,0.0
19,single,"[[176, 139, 87]]",1.0,1406,228,ehp CI,259.0,312.0,53.0,False,True,1.430200063623488,1.0192307692307692,0.9811320754716981,52.0,1.0,0.5
19,single,"[[176, 139, 87]]",1.0,1406,228,Established CI #1,256.41410970619336,307.0472929694678,50.63318326327442,False,True,0.23659993894398212,0.9737150627552773,0.8463891235850146,47.047292969467776,8.538597324338866,4.269298662169433
19,single,"[[176, 139, 87]]",1.0,1406,228,Established CI #2,259.0,313.0,54.0,False,True,3.580999909900129,1.0384615384615385,0.9629629629629629,52.0,2.0,0.0
20,single,"[[64, 137, 37]]",1.0,1185,164,Simulation (reference),202.0,293.0,91.0,False,True,333.09279999230057,1.0,1.0,91.0,0.0,0.0
20,single,"[[64, 137, 37]]",1.0,1185,164,ehp CI,202.0,293.0,91.0,False,True,0.6957000587135553,1.0,1.0,91.0,0.0,0.0
20,single,"[[64, 137, 37]]",1.0,1185,164,Established CI #1,197.72743139915306,279.4237462209051,81.69631482175205,False,True,0.26000000070780516,0.8977617013379346,0.8126551782736007,77.42374622090512,17.848822379941822,8.924411189970897
20,single,"[[64, 137, 37]]",1.0,1185,164,Established CI #2,202.0,296.0,94.0,False,True,2.8052000561729074,1.032967032967033,0.9680851063829787,91.0,3.0,1.5
21,single,"[[175, 195, 127]]",1.0,1344,243,Simulation (reference),257.0,285.0,28.0,False,True,388.4280000347644,1.0,1.0,28.0,0.0,0.0
21,single,"[[175, 195, 127]]",1.0,1344,243,ehp CI,256.0,285.0,29.0,False,True,0.6270000012591481,1.0357142857142858,0.9655172413793104,28.0,1.0,0.5
21,single,"[[175, 195, 127]]",1.0,1344,243,Established CI #1,254.56892511613884,283.19344148980576,28.62451637366692,False,True,0.1943999668583274,1.02230415620239,0.8607465096047993,26.193441489805764,4.237633394055393,2.1188166970276825
21,single,"[[175, 195, 127]]",1.0,1344,243,Established CI #2,256.0,286.0,30.0,False,True,3.5952000180259347,1.0714285714285714,0.9333333333333333,28.0,2.0,0.0
22,single,"[[89, 117, 77]]",1.0,1000,129,Simulation (reference),130.0,143.0,13.0,False,True,244.76210004650056,1.0,1.0,13.0,0.0,0.0
22,single,"[[89, 117, 77]]",1.0,1000,129,ehp CI,130.0,143.0,13.0,False,True,0.5184999899938703,1.0,1.0,13.0,0.0,0.0
22,single,"[[89, 117, 77]]",1.0,1000,129,Established CI #1,129.0,141.68994314825642,12.689943148256418,False,True,0.18049997743219137,0.9761494729428014,0.8349959391611728,11.689943148256418,2.3100568517435818,1.1550284258717909
22,single,"[[89, 117, 77]]",1.0,1000,129,Established CI #2,130.0,144.0,14.0,False,True,4.06549999024719,1.0769230769230769,0.9285714285714286,13.0,1.0,0.5
23,single,"[[194, 33, 13]]",1.0,2463,214,Simulation (reference),336.0,834.0,498.0,False,True,793.0194999789819,1.0,1.0,498.0,0.0,0.0
23,single,"[[194, 33, 13]]",1.0,2463,214,ehp CI,341.0,838.0,497.0,False,True,1.673900056630373,0.9979919678714859,0.9820717131474104,493.0,9.0,4.5
23,single,"[[194, 33, 13]]",1.0,2463,214,Established CI #1,324.88110811427487,687.4014817244715,362.52037361019666,False,True,0.20929996389895678,0.727952557450194,0.6902149720331843,351.4014817244715,157.7174101612536,78.8587050806268
23,single,"[[194, 33, 13]]",1.0,2463,214,Established CI #2,341.0,836.0,495.0,False,True,2.785200020298362,0.9939759036144579,0.986,493.0,7.0,3.5
